Year,Player,TEAM,AGE,GP,W,L,MIN,DEFRTG,DREB,DREB%,%DREB,STL,STL%,BLK,%BLK,"OPP PTS
OFF TOV ","OPP PTS
2ND CHANCE ","OPP PTS
FB ","OPP PTS
PAINT ",DEFWS,All Defense,DPOY,Over5,Over4,Over3,Under3,Under100
2018,Maya Moore ,MIN ,30,34,18,16,1081,97,127,12,17.3,57,29.2,12,13.8,384,236,251,800,5.9,0,0,1,1,1,0,1
2018,Jessica Breland ,ATL ,31,34,23,11,899,95,211,21.2,33.4,39,23.8,65,47.4,291,237,200,726,5.7,1,0,1,1,1,0,1
2018,Odyssey Sims ,LAS ,26,34,19,15,867,94,70,8.6,13.3,20,12.3,1,1.6,263,215,201,722,5.7,0,0,1,1,1,0,1
2018,Sylvia Fowles ,MIN ,33,34,18,16,1087,98,282,26.8,38.2,49,26.1,42,50.6,402,236,246,800,5.6,1,0,1,1,1,0,1
2018,Chelsea Gray ,LAS ,26,34,19,15,1111,98,99,9.5,14.8,48,20.7,6,7.5,403,307,289,954,5.6,0,0,1,1,1,0,1
2018,Renee Montgomery ,ATL ,32,34,23,11,935,96,54,5.5,8.7,45,25,2,1.6,291,250,214,734,5.6,0,0,1,1,1,0,1
2018,Tiffany Hayes ,ATL ,29,31,22,9,897,95,84,8.8,14.2,36,20.9,7,5.8,284,236,200,650,5.6,1,0,1,1,1,0,1
2018,Candace Parker ,LAS ,33,31,17,14,949,97,202,22.4,34.6,38,20,33,50,356,243,262,790,5.1,0,0,1,1,1,0,1
2018,Jewell Loyd ,SEA ,25,34,26,8,1010,98,113,11.1,16.9,43,21.1,5,4,315,241,145,872,5.1,0,0,1,1,1,0,1
2018,Angel McCoughtry ,ATL ,32,29,19,10,799,95,128,15.1,23.1,38,24.5,16,14.2,257,208,188,614,5.1,0,0,1,1,1,0,1
2018,Elizabeth Williams ,ATL ,26,33,23,10,885,97,119,12.6,20,26,15.8,59,45.7,273,239,207,716,5,0,0,0,1,1,0,1
2018,Breanna Stewart ,SEA ,24,34,26,8,1074,99,246,22.5,34.6,46,20.9,49,38.6,356,268,157,936,5,0,0,0,1,1,0,1
2018,Natasha Howard ,SEA ,27,34,26,8,869,97,139,15.5,24.1,44,23.5,67,57.8,277,218,142,760,4.7,1,0,0,1,1,0,1
2018,Nneka Ogwumike ,LAS ,28,27,17,10,832,96,135,17.5,27.4,42,24.4,12,25.5,273,230,197,724,4.7,1,0,0,1,1,0,1
2018,Alana Beard ,LAS ,37,30,17,13,766,96,62,8.9,13.7,44,25.4,6,13,289,200,209,640,4.6,1,1,0,1,1,0,1
2018,Seimone Augustus ,MIN ,35,33,17,16,864,99,55,6.5,9.5,14,9.7,8,11.9,302,197,209,660,4.3,0,0,0,1,1,0,1
2018,Kristi Toliver ,WAS ,32,33,21,12,1087,101,71,6.7,10.7,40,20.4,1,0.9,335,324,193,938,4.2,0,0,0,1,1,0,0
2018,Jasmine Thomas ,CON ,29,34,21,13,956,100,85,9.4,13.3,37,21.8,8,11.8,340,196,200,774,4.2,0,0,0,1,1,0,0
2018,Alyssa Thomas ,CON ,27,24,18,6,734,97,148,20.8,29.7,28,20,10,19.2,237,130,147,624,4.2,1,0,0,1,1,0,1
2018,Jonquel Jones ,CON ,25,34,21,13,697,96,117,16.5,24.8,15,12.9,42,56.8,260,166,133,472,4.2,0,0,0,1,1,0,1
2018,Sue Bird ,SEA ,38,31,25,6,824,99,49,6,9.3,35,20.3,2,1.9,285,211,114,696,3.9,0,0,0,0,1,0,1
2018,Diana Taurasi ,PHO ,37,33,20,13,989,101,111,10.4,17.1,30,20.3,8,6.3,366,261,199,754,3.8,0,0,0,0,1,0,0
2018,Jordin Canada ,SEA ,23,33,25,8,543,93,40,7,10.4,30,30.3,1,2.1,174,116,108,468,3.8,0,0,0,0,1,0,1
2018,Rebekkah Brunson ,MIN ,37,25,14,11,691,98,132,19.4,27.6,20,18.2,13,23.2,242,129,177,510,3.7,1,0,0,0,1,0,1
2018,Alysha Clark ,SEA ,31,31,24,7,813,100,77,9.6,14.8,31,18.8,4,4.3,273,201,103,696,3.6,0,0,0,0,1,0,0
2018,Brittney Sykes ,ATL ,25,29,21,8,600,96,84,13.5,21.9,10,8.6,18,22.8,162,168,115,472,3.5,0,0,0,0,1,0,1
2018,Elena Delle Donne ,WAS ,29,29,20,9,934,102,167,18.3,28.8,26,15.6,40,40,298,283,186,826,3.4,0,0,0,0,1,0,0
2018,Alex Bentley ,ATL ,28,35,24,11,744,100,41,5.4,9.3,40,27.2,3,4.3,263,213,137,590,3.4,0,0,0,0,1,0,0
2018,Brittney Griner ,PHO ,28,34,20,14,1108,104,199,16.8,27.3,17,10.9,87,64,436,302,208,814,3.3,1,0,0,0,1,0,0
2018,DeWanna Bonner ,PHO ,31,34,20,14,1120,104,199,16.6,27.3,43,26.5,15,11.1,451,306,216,840,3.3,0,0,0,0,1,0,0
